snapshot_date,snapshot_at_utc,source,format_slug,format_name,source_url,pokemon_name,usage_rank,usage_pct,sample_teams,team_appearances,team_appearance_pct,wins,losses,draws,matches_played,win_rate,avg_team_rank,best_team_rank,unique_authors,unique_events,top_teammates,top_teammate_appearances,top_teammate_win_rates
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Sylveon,18,8.01,20,2,10.00,17,6,0,23,73.91,12.50,6,2,2,Charizard-Mega-Y:Garchomp:Aerodactyl-Mega:Basculegion:Kingambit,2:2:1:1:1,73.91:73.91:90.00:90.00:90.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Aerodactyl-Mega,19,7.94,20,1,5.00,9,1,0,10,90.00,19.00,19,1,1,Basculegion:Charizard-Mega-Y:Garchomp:Kingambit:Sylveon,1:1:1:1:1,90.00:90.00:90.00:90.00:90.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Talonflame,20,7.57,20,2,10.00,18,0,0,18,100.00,6.50,4,2,2,Froslass-Mega:Garchomp:Kingambit:Rotom-Wash:Sneasler,2:2:2:2:2,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Tyranitar-Mega,21,7.08,20,1,5.00,11,2,0,13,84.62,2.00,2,1,1,Corviknight:Excadrill:Hydreigon:Mimikyu:Rotom-Wash,1:1:1:1:1,84.62:84.62:84.62:84.62:84.62
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Gengar-Mega,24,6.47,20,2,10.00,20,2,0,22,90.91,12.50,5,2,2,Incineroar:Archaludon:Politoed:Sableye:Sinistcha,2:1:1:1:1,90.91:91.67:91.67:91.67:91.67
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Corviknight,25,5.93,20,1,5.00,11,2,0,13,84.62,2.00,2,1,1,Excadrill:Hydreigon:Mimikyu:Rotom-Wash:Tyranitar-Mega,1:1:1:1:1,84.62:84.62:84.62:84.62:84.62
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Floette-Eternal,,,20,5,25.00,53,5,0,58,91.38,10.00,3,5,5,Basculegion:Incineroar:Sneasler:Whimsicott:Kingambit,3:3:3:3:2,96.77:93.75:91.89:91.67:88.46
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Sableye,,,20,3,15.00,27,1,0,28,96.43,10.33,5,3,3,Archaludon:Sinistcha:Basculegion:Glimmora-Mega:Gyarados-Mega,2:2:1:1:1,95.24:94.74:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Dragonite,,,20,2,10.00,15,1,0,16,93.75,19.00,18,2,2,Lopunny-Mega:Meowscarada:Orthworm:Primarina:Volcarona,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Hydreigon,,,20,2,10.00,18,2,0,20,90.00,9.50,2,2,2,Rotom-Wash:Aegislash:Garchomp:Incineroar:Venusaur-Mega,2:1:1:1:1,90.00:100.00:100.00:100.00:100.00
