snapshot_date,snapshot_at_utc,source,format_slug,format_name,source_url,core_rank,core_size,core_label,pokemon_names,usage_pct,team_count
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,2,Garchomp / Kingambit,Garchomp:Kingambit,17.1,2201
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,3,Basculegion / Kingambit / Sneasler,Basculegion:Kingambit:Sneasler,9.7,1245
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,3,Garchomp / Kingambit / Sneasler,Garchomp:Kingambit:Sneasler,9.2,1184
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,3,Basculegion / Garchomp / Kingambit,Basculegion:Garchomp:Kingambit,8.9,1148
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,3,Archaludon / Basculegion / Pelipper,Archaludon:Basculegion:Pelipper,7.8,1003
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,3,Charizard-Mega-Y / Garchomp / Kingambit,Charizard-Mega-Y:Garchomp:Kingambit,7.2,927
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,4,Basculegion / Charizard-Mega-Y / Garchomp / Kingambit,Basculegion:Charizard-Mega-Y:Garchomp:Kingambit,4.2,543
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,4,Basculegion / Garchomp / Kingambit / Sneasler,Basculegion:Garchomp:Kingambit:Sneasler,3.9,503
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,4,Archaludon / Basculegion / Pelipper / Sneasler,Archaludon:Basculegion:Pelipper:Sneasler,3.4,439
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,4,Basculegion / Floette-Eternal-Mega / Garchomp / Kingambit,Basculegion:Floette-Eternal-Mega:Garchomp:Kingambit,3.2,417
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,4,Charizard-Mega-Y / Garchomp / Incineroar / Sneasler,Charizard-Mega-Y:Garchomp:Incineroar:Sneasler,3.2,415
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,2,Kingambit / Sneasler,Kingambit:Sneasler,19.4,2501
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,2,Garchomp / Sneasler,Garchomp:Sneasler,19.2,2483
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,2,Basculegion / Sneasler,Basculegion:Sneasler,18.0,2323
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,2,Basculegion / Kingambit,Basculegion:Kingambit,17.1,2204
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,2,Garchomp / Kingambit,Garchomp:Kingambit,17.1,2201
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,3,Basculegion / Kingambit / Sneasler,Basculegion:Kingambit:Sneasler,9.7,1245
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,3,Garchomp / Kingambit / Sneasler,Garchomp:Kingambit:Sneasler,9.2,1184
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,3,Basculegion / Garchomp / Kingambit,Basculegion:Garchomp:Kingambit,8.9,1148
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,3,Archaludon / Basculegion / Pelipper,Archaludon:Basculegion:Pelipper,7.8,1003
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,3,Charizard-Mega-Y / Garchomp / Kingambit,Charizard-Mega-Y:Garchomp:Kingambit,7.2,927
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,4,Basculegion / Charizard-Mega-Y / Garchomp / Kingambit,Basculegion:Charizard-Mega-Y:Garchomp:Kingambit,4.2,543
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,4,Basculegion / Garchomp / Kingambit / Sneasler,Basculegion:Garchomp:Kingambit:Sneasler,3.9,503
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,4,Archaludon / Basculegion / Pelipper / Sneasler,Archaludon:Basculegion:Pelipper:Sneasler,3.4,439
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,4,Basculegion / Floette-Eternal-Mega / Garchomp / Kingambit,Basculegion:Floette-Eternal-Mega:Garchomp:Kingambit,3.2,417
2026-05-23,2026-05-23T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,4,Charizard-Mega-Y / Garchomp / Incineroar / Sneasler,Charizard-Mega-Y:Garchomp:Incineroar:Sneasler,3.2,415
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,2,Basculegion / Kingambit,Basculegion:Kingambit,21.2,1461
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,2,Charizard-Mega-Y / Garchomp,Charizard-Mega-Y:Garchomp,19.0,1308
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,2,Garchomp / Kingambit,Garchomp:Kingambit,18.9,1300
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,2,Basculegion / Sneasler,Basculegion:Sneasler,17.9,1233
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,2,Kingambit / Sneasler,Kingambit:Sneasler,17.9,1233
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,3,Basculegion / Garchomp / Kingambit,Basculegion:Garchomp:Kingambit,11.8,814
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,3,Charizard-Mega-Y / Garchomp / Kingambit,Charizard-Mega-Y:Garchomp:Kingambit,10.9,753
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,3,Basculegion / Charizard-Mega-Y / Garchomp,Basculegion:Charizard-Mega-Y:Garchomp,10.9,751
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,3,Basculegion / Kingambit / Sneasler,Basculegion:Kingambit:Sneasler,9.7,670
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,3,Archaludon / Basculegion / Pelipper,Archaludon:Basculegion:Pelipper,8.9,614
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,4,Basculegion / Charizard-Mega-Y / Garchomp / Kingambit,Basculegion:Charizard-Mega-Y:Garchomp:Kingambit,7.6,520
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,4,Aerodactyl / Charizard-Mega-Y / Garchomp / Kingambit,Aerodactyl:Charizard-Mega-Y:Garchomp:Kingambit,4.2,287
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,4,Basculegion / Floette-Eternal-Mega / Garchomp / Kingambit,Basculegion:Floette-Eternal-Mega:Garchomp:Kingambit,4.0,275
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,4,Charizard-Mega-Y / Garchomp / Kingambit / Whimsicott,Charizard-Mega-Y:Garchomp:Kingambit:Whimsicott,3.7,252
2026-05-24,2026-05-24T12:00:03Z,pikalytics,gen9championsvgc2026regma,What's winning in competitive Pokémon right now,https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,4,Basculegion / Garchomp / Kingambit / Sneasler,Basculegion:Garchomp:Kingambit:Sneasler,3.6,248
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,2,Basculegion / Kingambit,Basculegion:Kingambit,21.2,1461
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,2,Charizard-Mega-Y / Garchomp,Charizard-Mega-Y:Garchomp,19.0,1308
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,2,Garchomp / Kingambit,Garchomp:Kingambit,18.9,1300
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,2,Basculegion / Sneasler,Basculegion:Sneasler,17.9,1233
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,2,Kingambit / Sneasler,Kingambit:Sneasler,17.9,1233
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,3,Basculegion / Garchomp / Kingambit,Basculegion:Garchomp:Kingambit,11.8,814
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,3,Charizard-Mega-Y / Garchomp / Kingambit,Charizard-Mega-Y:Garchomp:Kingambit,10.9,753
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,3,Basculegion / Charizard-Mega-Y / Garchomp,Basculegion:Charizard-Mega-Y:Garchomp,10.9,751
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,3,Basculegion / Kingambit / Sneasler,Basculegion:Kingambit:Sneasler,9.7,670
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,3,Archaludon / Basculegion / Pelipper,Archaludon:Basculegion:Pelipper,8.9,614
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,4,Basculegion / Charizard-Mega-Y / Garchomp / Kingambit,Basculegion:Charizard-Mega-Y:Garchomp:Kingambit,7.6,520
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,4,Aerodactyl / Charizard-Mega-Y / Garchomp / Kingambit,Aerodactyl:Charizard-Mega-Y:Garchomp:Kingambit,4.2,287
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,4,Basculegion / Floette-Eternal-Mega / Garchomp / Kingambit,Basculegion:Floette-Eternal-Mega:Garchomp:Kingambit,4.0,275
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,4,Charizard-Mega-Y / Garchomp / Kingambit / Whimsicott,Charizard-Mega-Y:Garchomp:Kingambit:Whimsicott,3.7,252
2026-05-25,2026-05-25T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,4,Basculegion / Garchomp / Kingambit / Sneasler,Basculegion:Garchomp:Kingambit:Sneasler,3.6,248
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,2,Basculegion / Kingambit,Basculegion:Kingambit,22.2,1524
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,2,Charizard-Mega-Y / Garchomp,Charizard-Mega-Y:Garchomp,19.9,1371
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,2,Garchomp / Kingambit,Garchomp:Kingambit,19.4,1336
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,2,Basculegion / Garchomp,Basculegion:Garchomp,19.2,1322
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,2,Basculegion / Sneasler,Basculegion:Sneasler,16.8,1156
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,3,Basculegion / Garchomp / Kingambit,Basculegion:Garchomp:Kingambit,12.8,880
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,3,Basculegion / Charizard-Mega-Y / Garchomp,Basculegion:Charizard-Mega-Y:Garchomp,12.5,862
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,3,Charizard-Mega-Y / Garchomp / Kingambit,Charizard-Mega-Y:Garchomp:Kingambit,11.9,817
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,3,Basculegion / Charizard-Mega-Y / Kingambit,Basculegion:Charizard-Mega-Y:Kingambit,9.7,666
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,3,Basculegion / Kingambit / Sneasler,Basculegion:Kingambit:Sneasler,9.1,627
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,4,Basculegion / Charizard-Mega-Y / Garchomp / Kingambit,Basculegion:Charizard-Mega-Y:Garchomp:Kingambit,8.7,601
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,4,Basculegion / Charizard-Mega-Y / Garchomp / Whimsicott,Basculegion:Charizard-Mega-Y:Garchomp:Whimsicott,4.7,323
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,3,4,Charizard-Mega-Y / Garchomp / Kingambit / Whimsicott,Charizard-Mega-Y:Garchomp:Kingambit:Whimsicott,4.5,310
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,4,4,Aerodactyl / Charizard-Mega-Y / Garchomp / Kingambit,Aerodactyl:Charizard-Mega-Y:Garchomp:Kingambit,4.1,282
2026-05-26,2026-05-26T12:00:06Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,5,4,Basculegion / Charizard-Mega-Y / Garchomp / Sylveon,Basculegion:Charizard-Mega-Y:Garchomp:Sylveon,3.9,271
2026-05-27,2026-05-27T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,1,2,Basculegion / Kingambit,Basculegion:Kingambit,22.2,1524
2026-05-27,2026-05-27T12:00:02Z,pikalytics,gen9championsvgc2026regma,"Best Pokemon, Teams and Builds in Pokemon Champions",https://pikalytics.com/pokedex/gen9championsvgc2026regma,2,2,Charizard-Mega-Y / Garchomp,Charizard-Mega-Y:Garchomp,19.9,1371
